Renewable,LC,Main,LS,Bmode,,,,,,,,,,,,
0,0,0,0,0,,,,,,,,,,,,
0,1,0.8,1,0,,,,,,,,,,,,
0,2,2,2,0,,Sum of Bmode,Column Labels,,,,,,,,,
0,3,1.8,3,-1,,Row Labels,0,1,2,3,4,5,6,7,(blank),Grand Total
0,4,1.2,4,0,,0,0,0,0,-1,0,0,-1,-1,,-3
0,5,2,5,0,,1,0,0,0,-1,0,0,-1,-1,,-3
0,6,0.2,4,-1,,2,0,0,0,-1,0,0,-1,-1,,-3
0,7,1,5,-1,,3,0,0,0,-1,0,0,-1,-1,,-3
1,0,0,0,0,,4,0,0,0,-1,0,0,-1,-1,,-3
1,1,0.8,1,0,,5,0,0,0,-1,0,0,-1,-1,,-3
1,2,2,2,0,,6,0,0,0,-1,0,0,-1,-1,,-3
1,3,1.8,3,-1,,7,0,0,0,-1,0,0,-1,-1,,-3
1,4,1.2,4,0,,8,0,0,0,-1,0,0,-1,-1,,-3
1,5,2,5,0,,9,0,0,0,-1,0,0,-1,-1,,-3
1,6,0.2,4,-1,,10,0,0,0,-1,0,0,-1,-1,,-3
1,7,1,5,-1,,11,0,0,0,-1,0,0,-1,-1,,-3
2,0,0,0,0,,12,0,0,0,-1,0,0,-1,-1,,-3
2,1,0.8,1,0,,13,0,0,0,-1,0,0,-1,-1,,-3
2,2,2,2,0,,14,0,0,0,-1,0,0,-1,-1,,-3
2,3,1.8,3,-1,,15,0,0,0,-1,0,0,-1,-1,,-3
2,4,1.2,4,0,,16,0,0,0,-1,0,0,-1,-1,,-3
2,5,2,5,0,,17,0,0,0,-1,0,0,-1,-1,,-3
2,6,0.2,4,-1,,18,0,0,0,-1,0,0,-1,-1,,-3
2,7,1,5,-1,,19,0,0,0,-1,0,0,-1,-1,,-3
3,0,0,0,0,,20,0,0,0,-1,0,0,-1,-1,,-3
3,1,0.8,1,0,,21,0,0,0,-1,0,0,-1,-1,,-3
3,2,2,2,0,,22,0,0,0,-1,0,0,-1,-1,,-3
3,3,1.8,3,-1,,23,0,0,0,-1,0,0,-1,-1,,-3
3,4,1.2,4,0,,24,0,0,0,-1,0,0,-1,-1,,-3
3,5,2,5,0,,25,0,0,0,-1,0,0,-1,-1,,-3
3,6,0.2,4,-1,,26,0,0,0,-1,0,0,-1,-1,,-3
3,7,1,5,-1,,27,0,0,0,-1,0,0,-1,-1,,-3
4,0,0,0,0,,28,0,0,0,-1,0,0,-1,-1,,-3
4,1,0.8,1,0,,29,0,0,0,-1,0,0,-1,-1,,-3
4,2,2,2,0,,30,0,0,0,-1,0,0,-1,-1,,-3
4,3,1.8,3,-1,,31,0,0,0,-1,0,0,-1,-1,,-3
4,4,1.2,4,0,,32,0,0,0,-1,0,0,-1,-1,,-3
4,5,2,5,0,,33,0,0,0,-1,0,0,-1,-1,,-3
4,6,0.2,4,-1,,34,0,0,0,-1,0,0,-1,-1,,-3
4,7,1,5,-1,,35,0,0,0,-1,0,0,-1,-1,,-3
5,0,0,0,0,,36,0,0,0,-1,0,0,-1,-1,,-3
5,1,0.8,1,0,,37,0,0,0,-1,0,0,-1,-1,,-3
5,2,2,2,0,,38,0,0,0,-1,0,0,-1,-1,,-3
5,3,1.8,3,-1,,39,0,0,0,-1,0,0,-1,-1,,-3
5,4,1.2,4,0,,40,0,0,0,-1,0,0,-1,-1,,-3
5,5,2,5,0,,41,0,0,0,-1,0,0,-1,-1,,-3
5,6,0.2,4,-1,,42,0,0,0,-1,0,0,-1,-1,,-3
5,7,1,5,-1,,43,0,0,0,-1,0,0,-1,-1,,-3
6,0,0,0,0,,44,0,0,0,-1,0,0,-1,-1,,-3
6,1,0.8,1,0,,45,0,0,0,-1,0,0,-1,-1,,-3
6,2,2,2,0,,46,0,0,0,-1,0,0,-1,-1,,-3
6,3,1.8,3,-1,,47,0,0,0,-1,0,0,-1,-1,,-3
6,4,1.2,4,0,,48,0,0,0,-1,0,0,-1,-1,,-3
6,5,2,5,0,,49,0,0,0,-1,0,0,-1,-1,,-3
6,6,0.2,4,-1,,50,0,0,0,-1,0,0,-1,-1,,-3
6,7,1,5,-1,,51,0,0,0,-1,0,0,-1,-1,,-3
7,0,0,0,0,,52,0,0,0,-1,0,0,-1,-1,,-3
7,1,0.8,1,0,,53,0,0,0,-1,0,0,-1,-1,,-3
7,2,2,2,0,,54,0,0,0,-1,0,0,-1,-1,,-3
7,3,1.8,3,-1,,55,0,0,0,-1,0,0,-1,-1,,-3
7,4,1.2,4,0,,56,0,0,0,-1,0,0,-1,-1,,-3
7,5,2,5,0,,57,0,0,0,-1,0,0,-1,-1,,-3
7,6,0.2,4,-1,,58,0,0,0,-1,0,0,-1,-1,,-3
7,7,1,5,-1,,59,0,0,0,-1,0,0,-1,-1,,-3
8,0,0,0,0,,60,0,0,0,-1,0,0,-1,-1,,-3
8,1,0.8,1,0,,61,0,0,0,-1,0,0,-1,-1,,-3
8,2,2,2,0,,62,0,0,0,-1,0,0,-1,-1,,-3
8,3,1.8,3,-1,,63,0,0,0,-1,0,0,-1,-1,,-3
8,4,1.2,4,0,,64,0,0,0,-1,0,0,-1,-1,,-3
8,5,2,5,0,,65,0,0,0,-1,0,0,-1,-1,,-3
8,6,0.2,4,-1,,66,0,0,0,-1,0,0,-1,-1,,-3
8,7,1,5,-1,,67,0,0,0,-1,0,0,-1,-1,,-3
9,0,0,0,0,,68,0,0,0,-1,0,0,-1,-1,,-3
9,1,0.8,1,0,,69,0,0,0,-1,0,0,-1,-1,,-3
9,2,2,2,0,,70,0,0,0,-1,0,0,-1,-1,,-3
9,3,1.8,3,-1,,71,0,0,0,-1,0,0,-1,-1,,-3
9,4,1.2,4,0,,72,0,0,0,-1,0,0,-1,-1,,-3
9,5,2,5,0,,73,0,0,0,-1,0,0,-1,-1,,-3
9,6,0.2,4,-1,,74,0,0,0,-1,0,0,-1,-1,,-3
9,7,1,5,-1,,75,0,0,0,-1,0,0,-1,-1,,-3
10,0,0,0,0,,76,0,0,0,-1,0,0,-1,-1,,-3
10,1,0.8,1,0,,77,0,0,0,-1,0,0,-1,-1,,-3
10,2,2,2,0,,78,0,0,0,-1,0,0,-1,-1,,-3
10,3,1.8,3,-1,,79,0,0,0,-1,0,0,-1,-1,,-3
10,4,1.2,4,0,,80,0,0,0,-1,0,0,-1,-1,,-3
10,5,2,5,0,,81,0,0,0,-1,0,0,-1,-1,,-3
10,6,0.2,4,-1,,82,0,0,0,-1,0,0,-1,-1,,-3
10,7,1,5,-1,,83,0,0,0,-1,0,0,-1,-1,,-3
11,0,0,0,0,,84,0,0,0,-1,0,0,-1,-1,,-3
11,1,0.8,1,0,,85,0,0,0,-1,0,0,-1,-1,,-3
11,2,2,2,0,,86,0,0,0,-1,0,0,-1,-1,,-3
11,3,1.8,3,-1,,87,0,0,0,-1,0,0,-1,-1,,-3
11,4,1.2,4,0,,88,0,0,0,-1,0,0,-1,-1,,-3
11,5,2,5,0,,89,0,0,0,-1,0,0,-1,-1,,-3
11,6,0.2,4,-1,,90,0,0,0,-1,0,0,-1,-1,,-3
11,7,1,5,-1,,91,0,0,0,-1,0,0,-1,-1,,-3
12,0,0,0,0,,92,0,0,0,-1,0,0,-1,-1,,-3
12,1,0.8,1,0,,93,0,0,0,-1,0,0,-1,-1,,-3
12,2,2,2,0,,94,0,0,0,-1,0,0,-1,-1,,-3
12,3,1.8,3,-1,,95,0,0,0,-1,0,0,-1,-1,,-3
12,4,1.2,4,0,,96,0,0,0,-1,0,0,-1,-1,,-3
12,5,2,5,0,,97,0,0,0,-1,0,0,-1,-1,,-3
12,6,0.2,4,-1,,98,0,0,0,-1,0,0,-1,-1,,-3
12,7,1,5,-1,,99,0,0,0,-1,0,0,-1,-1,,-3
13,0,0,0,0,,100,0,0,0,0,0,0,-1,-1,,-2
13,1,0.8,1,0,,101,0,0,0,0,0,0,-1,-1,,-2
13,2,2,2,0,,102,0,0,0,0,0,0,-1,-1,,-2
13,3,1.8,3,-1,,103,0,0,0,0,0,0,-1,-1,,-2
13,4,1.2,4,0,,104,0,0,0,0,0,0,-1,-1,,-2
13,5,2,5,0,,105,0,0,0,0,0,0,-1,-1,,-2
13,6,0.2,4,-1,,106,0,0,0,0,0,0,-1,-1,,-2
13,7,1,5,-1,,107,0,0,0,0,0,0,-1,-1,,-2
14,0,0,0,0,,108,0,0,0,0,0,0,-1,-1,,-2
14,1,0.8,1,0,,109,0,0,0,0,0,0,-1,-1,,-2
14,2,2,2,0,,110,0,0,0,0,0,0,-1,-1,,-2
14,3,1.8,3,-1,,111,0,0,0,0,0,0,-1,-1,,-2
14,4,1.2,4,0,,112,0,0,0,0,0,0,-1,-1,,-2
14,5,2,5,0,,113,0,0,0,0,0,0,-1,-1,,-2
14,6,0.2,4,-1,,114,0,0,0,0,0,0,-1,-1,,-2
14,7,1,5,-1,,115,0,0,0,0,0,0,-1,-1,,-2
15,0,0,0,0,,116,0,0,0,0,0,0,-1,-1,,-2
15,1,0.8,1,0,,117,0,0,0,0,0,0,-1,-1,,-2
15,2,2,2,0,,118,0,0,0,0,0,0,-1,-1,,-2
15,3,1.8,3,-1,,119,0,0,0,0,0,0,-1,-1,,-2
15,4,1.2,4,0,,120,0,0,0,0,0,0,-1,-1,,-2
15,5,2,5,0,,121,0,0,0,0,0,0,-1,-1,,-2
15,6,0.2,4,-1,,122,0,0,0,0,0,0,-1,-1,,-2
15,7,1,5,-1,,123,0,0,0,0,0,0,-1,-1,,-2
16,0,0,0,0,,124,0,0,0,0,0,0,-1,-1,,-2
16,1,0.8,1,0,,125,0,0,0,0,0,0,-1,-1,,-2
16,2,2,2,0,,126,0,0,0,0,0,0,-1,-1,,-2
16,3,1.8,3,-1,,127,0,0,0,0,0,0,-1,-1,,-2
16,4,1.2,4,0,,128,0,0,0,0,0,0,-1,-1,,-2
16,5,2,5,0,,129,0,0,0,0,0,0,-1,-1,,-2
16,6,0.2,4,-1,,130,0,0,0,0,0,0,-1,-1,,-2
16,7,1,5,-1,,131,0,0,0,0,0,0,-1,-1,,-2
17,0,0,0,0,,132,0,0,0,0,0,0,-1,-1,,-2
17,1,0.8,1,0,,133,0,0,0,0,0,0,-1,-1,,-2
17,2,2,2,0,,134,0,0,0,0,0,0,-1,-1,,-2
17,3,1.8,3,-1,,135,0,0,0,0,0,0,-1,-1,,-2
17,4,1.2,4,0,,136,0,0,0,0,0,0,-1,-1,,-2
17,5,2,5,0,,137,0,0,0,0,0,0,-1,-1,,-2
17,6,0.2,4,-1,,138,0,0,0,0,0,0,-1,-1,,-2
17,7,1,5,-1,,139,0,0,0,0,0,0,-1,-1,,-2
18,0,0,0,0,,140,0,0,0,0,0,0,-1,-1,,-2
18,1,0.8,1,0,,141,0,0,0,0,0,0,-1,-1,,-2
18,2,2,2,0,,142,0,0,0,0,0,0,-1,-1,,-2
18,3,1.8,3,-1,,143,0,0,0,0,0,0,-1,-1,,-2
18,4,1.2,4,0,,144,0,0,0,0,0,0,-1,-1,,-2
18,5,2,5,0,,145,0,0,0,0,0,0,-1,-1,,-2
18,6,0.2,4,-1,,146,0,0,0,0,0,0,-1,-1,,-2
18,7,1,5,-1,,147,0,0,0,0,0,0,-1,-1,,-2
19,0,0,0,0,,148,0,0,0,0,0,0,-1,-1,,-2
19,1,0.8,1,0,,149,0,0,0,0,0,0,-1,-1,,-2
19,2,2,2,0,,150,0,0,0,0,0,0,-1,-1,,-2
19,3,1.8,3,-1,,151,0,0,0,0,0,0,-1,-1,,-2
19,4,1.2,4,0,,152,0,0,0,0,0,0,-1,-1,,-2
19,5,2,5,0,,153,0,0,0,0,0,0,-1,-1,,-2
19,6,0.2,4,-1,,154,0,0,0,0,0,0,-1,-1,,-2
19,7,1,5,-1,,155,0,0,0,0,0,0,-1,-1,,-2
20,0,0,0,0,,156,0,0,0,0,0,0,-1,-1,,-2
20,1,0.8,1,0,,157,0,0,0,0,0,0,-1,-1,,-2
20,2,2,2,0,,158,0,0,0,0,0,0,-1,-1,,-2
20,3,1.8,3,-1,,159,0,0,0,0,0,0,-1,-1,,-2
20,4,1.2,4,0,,160,0,0,0,0,0,0,-1,-1,,-2
20,5,2,5,0,,161,0,0,0,0,0,0,-1,-1,,-2
20,6,0.2,4,-1,,162,0,0,0,0,0,0,-1,-1,,-2
20,7,1,5,-1,,163,0,0,0,0,0,0,-1,-1,,-2
21,0,0,0,0,,164,0,0,0,0,0,0,-1,-1,,-2
21,1,0.8,1,0,,165,0,0,0,0,0,0,-1,-1,,-2
21,2,2,2,0,,166,0,0,0,0,0,0,-1,-1,,-2
21,3,1.8,3,-1,,167,0,0,0,0,0,0,-1,-1,,-2
21,4,1.2,4,0,,168,0,0,0,0,0,0,-1,-1,,-2
21,5,2,5,0,,169,0,0,0,0,0,0,-1,-1,,-2
21,6,0.2,4,-1,,170,0,0,0,0,0,0,-1,-1,,-2
21,7,1,5,-1,,171,0,0,0,0,0,0,-1,-1,,-2
22,0,0,0,0,,172,0,0,0,0,0,0,-1,-1,,-2
22,1,0.8,1,0,,173,0,0,0,0,0,0,-1,-1,,-2
22,2,2,2,0,,174,0,0,0,0,0,0,-1,-1,,-2
22,3,1.8,3,-1,,175,0,0,0,0,0,0,-1,-1,,-2
22,4,1.2,4,0,,176,0,0,0,0,0,0,-1,-1,,-2
22,5,2,5,0,,177,0,0,0,0,0,0,-1,-1,,-2
22,6,0.2,4,-1,,178,0,0,0,0,0,0,-1,-1,,-2
22,7,1,5,-1,,179,0,0,0,0,0,0,-1,-1,,-2
23,0,0,0,0,,180,0,0,0,0,0,0,-1,-1,,-2
23,1,0.8,1,0,,181,0,0,0,0,0,0,-1,-1,,-2
23,2,2,2,0,,182,0,0,0,0,0,0,-1,-1,,-2
23,3,1.8,3,-1,,183,0,0,0,0,0,0,-1,-1,,-2
23,4,1.2,4,0,,184,0,0,0,0,0,0,-1,-1,,-2
23,5,2,5,0,,185,0,0,0,0,0,0,-1,-1,,-2
23,6,0.2,4,-1,,186,0,0,0,0,0,0,-1,-1,,-2
23,7,1,5,-1,,187,0,0,0,0,0,0,-1,-1,,-2
24,0,0,0,0,,188,0,0,0,0,0,0,-1,-1,,-2
24,1,0.8,1,0,,189,0,0,0,0,0,0,-1,-1,,-2
24,2,2,2,0,,190,0,0,0,0,0,0,-1,-1,,-2
24,3,1.8,3,-1,,191,0,0,0,0,0,0,-1,-1,,-2
24,4,1.2,4,0,,192,0,0,0,0,0,0,-1,-1,,-2
24,5,2,5,0,,193,0,0,0,0,0,0,-1,-1,,-2
24,6,0.2,4,-1,,194,0,0,0,0,0,0,-1,-1,,-2
24,7,1,5,-1,,195,0,0,0,0,0,0,-1,-1,,-2
25,0,0,0,0,,196,0,0,0,0,0,0,-1,-1,,-2
25,1,0.8,1,0,,197,0,0,0,0,0,0,-1,-1,,-2
25,2,2,2,0,,198,0,0,0,0,0,0,-1,-1,,-2
25,3,1.8,3,-1,,199,0,0,0,0,0,0,-1,-1,,-2
25,4,1.2,4,0,,200,1,1,0,0,0,0,0,0,,2
25,5,2,5,0,,201,1,1,0,0,0,0,0,0,,2
25,6,0.2,4,-1,,202,1,1,0,0,0,0,0,0,,2
25,7,1,5,-1,,203,1,1,0,0,0,0,0,0,,2
26,0,0,0,0,,204,1,1,0,0,0,0,0,0,,2
26,1,0.8,1,0,,205,1,1,0,0,0,0,0,0,,2
26,2,2,2,0,,206,1,1,0,0,0,0,0,0,,2
26,3,1.8,3,-1,,207,1,1,0,0,0,0,0,0,,2
26,4,1.2,4,0,,208,1,1,0,0,0,0,0,0,,2
26,5,2,5,0,,209,1,1,0,0,0,0,0,0,,2
26,6,0.2,4,-1,,210,1,1,0,0,0,0,0,0,,2
26,7,1,5,-1,,211,1,1,0,0,0,0,0,0,,2
27,0,0,0,0,,212,1,1,0,0,0,0,0,0,,2
27,1,0.8,1,0,,213,1,1,0,0,0,0,0,0,,2
27,2,2,2,0,,214,1,1,0,0,0,0,0,0,,2
27,3,1.8,3,-1,,215,1,1,0,0,0,0,0,0,,2
27,4,1.2,4,0,,216,1,1,0,0,0,0,0,0,,2
27,5,2,5,0,,217,1,1,0,0,0,0,0,0,,2
27,6,0.2,4,-1,,218,1,1,0,0,0,0,0,0,,2
27,7,1,5,-1,,219,1,1,0,0,0,0,0,0,,2
28,0,0,0,0,,220,1,1,0,0,0,0,0,0,,2
28,1,0.8,1,0,,221,1,1,0,0,0,0,0,0,,2
28,2,2,2,0,,222,1,1,0,0,0,0,0,0,,2
28,3,1.8,3,-1,,223,1,1,0,0,0,0,0,0,,2
28,4,1.2,4,0,,224,1,1,0,0,0,0,0,0,,2
28,5,2,5,0,,225,1,1,0,0,0,0,0,0,,2
28,6,0.2,4,-1,,226,1,1,0,0,0,0,0,0,,2
28,7,1,5,-1,,227,1,1,0,0,0,0,0,0,,2
29,0,0,0,0,,228,1,1,0,0,0,0,0,0,,2
29,1,0.8,1,0,,229,1,1,0,0,0,0,0,0,,2
29,2,2,2,0,,230,1,1,0,0,0,0,0,0,,2
29,3,1.8,3,-1,,231,1,1,0,0,0,0,0,0,,2
29,4,1.2,4,0,,232,1,1,0,0,0,0,0,0,,2
29,5,2,5,0,,233,1,1,0,0,0,0,0,0,,2
29,6,0.2,4,-1,,234,1,1,0,0,0,0,0,0,,2
29,7,1,5,-1,,235,1,1,0,0,0,0,0,0,,2
30,0,0,0,0,,236,1,1,0,0,0,0,0,0,,2
30,1,0.8,1,0,,237,1,1,0,0,0,0,0,0,,2
30,2,2,2,0,,238,1,1,0,0,0,0,0,0,,2
30,3,1.8,3,-1,,239,1,1,0,0,0,0,0,0,,2
30,4,1.2,4,0,,240,1,1,0,0,0,0,0,0,,2
30,5,2,5,0,,241,1,1,0,0,0,0,0,0,,2
30,6,0.2,4,-1,,242,1,1,0,0,0,0,0,0,,2
30,7,1,5,-1,,243,1,1,0,0,0,0,0,0,,2
31,0,0,0,0,,244,1,1,0,0,0,0,0,0,,2
31,1,0.8,1,0,,245,1,1,0,0,0,0,0,0,,2
31,2,2,2,0,,246,1,1,0,0,0,0,0,0,,2
31,3,1.8,3,-1,,247,1,1,0,0,0,0,0,0,,2
31,4,1.2,4,0,,248,1,1,0,0,0,0,0,0,,2
31,5,2,5,0,,249,1,1,0,0,0,0,0,0,,2
31,6,0.2,4,-1,,250,1,1,0,0,0,0,0,0,,2
31,7,1,5,-1,,251,1,1,0,0,0,0,0,0,,2
32,0,0,0,0,,252,1,1,0,0,0,0,0,0,,2
32,1,0.8,1,0,,253,1,1,0,0,0,0,0,0,,2
32,2,2,2,0,,254,1,1,0,0,0,0,0,0,,2
32,3,1.8,3,-1,,255,1,1,0,0,0,0,0,0,,2
32,4,1.2,4,0,,256,1,1,0,0,0,0,0,0,,2
32,5,2,5,0,,257,1,1,0,0,0,0,0,0,,2
32,6,0.2,4,-1,,258,1,1,0,0,0,0,0,0,,2
32,7,1,5,-1,,259,1,1,0,0,0,0,0,0,,2
33,0,0,0,0,,260,1,1,0,0,0,0,0,0,,2
33,1,0.8,1,0,,261,1,1,0,0,0,0,0,0,,2
33,2,2,2,0,,262,1,1,0,0,0,0,0,0,,2
33,3,1.8,3,-1,,263,1,1,0,0,0,0,0,0,,2
33,4,1.2,4,0,,264,1,1,0,0,0,0,0,0,,2
33,5,2,5,0,,265,1,1,0,0,0,0,0,0,,2
33,6,0.2,4,-1,,266,1,1,0,0,0,0,0,0,,2
33,7,1,5,-1,,267,1,1,0,0,0,0,0,0,,2
34,0,0,0,0,,268,1,1,0,0,0,0,0,0,,2
34,1,0.8,1,0,,269,1,1,0,0,0,0,0,0,,2
34,2,2,2,0,,270,1,1,0,0,0,0,0,0,,2
34,3,1.8,3,-1,,271,1,1,0,0,0,0,0,0,,2
34,4,1.2,4,0,,272,1,1,0,0,0,0,0,0,,2
34,5,2,5,0,,273,1,1,0,0,0,0,0,0,,2
34,6,0.2,4,-1,,274,1,1,0,0,0,0,0,0,,2
34,7,1,5,-1,,275,1,1,0,0,0,0,0,0,,2
35,0,0,0,0,,276,1,1,0,0,0,0,0,0,,2
35,1,0.8,1,0,,277,1,1,0,0,0,0,0,0,,2
35,2,2,2,0,,278,1,1,0,0,0,0,0,0,,2
35,3,1.8,3,-1,,279,1,1,0,0,0,0,0,0,,2
35,4,1.2,4,0,,280,1,1,0,0,0,0,0,0,,2
35,5,2,5,0,,281,1,1,0,0,0,0,0,0,,2
35,6,0.2,4,-1,,282,1,1,0,0,0,0,0,0,,2
35,7,1,5,-1,,283,1,1,0,0,0,0,0,0,,2
36,0,0,0,0,,284,1,1,0,0,0,0,0,0,,2
36,1,0.8,1,0,,285,1,1,0,0,0,0,0,0,,2
36,2,2,2,0,,286,1,1,0,0,0,0,0,0,,2
36,3,1.8,3,-1,,287,1,1,0,0,0,0,0,0,,2
36,4,1.2,4,0,,288,1,1,0,0,0,0,0,0,,2
36,5,2,5,0,,289,1,1,0,0,0,0,0,0,,2
36,6,0.2,4,-1,,290,1,1,0,0,0,0,0,0,,2
36,7,1,5,-1,,291,1,1,0,0,0,0,0,0,,2
37,0,0,0,0,,292,1,1,0,0,0,0,0,0,,2
37,1,0.8,1,0,,293,1,1,0,0,0,0,0,0,,2
37,2,2,2,0,,294,1,1,0,0,0,0,0,0,,2
37,3,1.8,3,-1,,295,1,1,0,0,0,0,0,0,,2
37,4,1.2,4,0,,296,1,1,0,0,0,0,0,0,,2
37,5,2,5,0,,297,1,1,0,0,0,0,0,0,,2
37,6,0.2,4,-1,,298,1,1,0,0,0,0,0,0,,2
37,7,1,5,-1,,299,1,1,0,0,0,0,0,0,,2
38,0,0,0,0,,300,1,1,0,0,1,0,0,0,,3
38,1,0.8,1,0,,301,1,1,0,0,1,0,0,0,,3
38,2,2,2,0,,302,1,1,0,0,1,0,0,0,,3
38,3,1.8,3,-1,,303,1,1,0,0,1,0,0,0,,3
38,4,1.2,4,0,,304,1,1,0,0,1,0,0,0,,3
38,5,2,5,0,,305,1,1,0,0,1,0,0,0,,3
38,6,0.2,4,-1,,306,1,1,0,0,1,0,0,0,,3
38,7,1,5,-1,,307,1,1,0,0,1,0,0,0,,3
39,0,0,0,0,,308,1,1,0,0,1,0,0,0,,3
39,1,0.8,1,0,,309,1,1,0,0,1,0,0,0,,3
39,2,2,2,0,,310,1,1,0,0,1,0,0,0,,3
39,3,1.8,3,-1,,311,1,1,0,0,1,0,0,0,,3
39,4,1.2,4,0,,312,1,1,0,0,1,0,0,0,,3
39,5,2,5,0,,313,1,1,0,0,1,0,0,0,,3
39,6,0.2,4,-1,,314,1,1,0,0,1,0,0,0,,3
39,7,1,5,-1,,315,1,1,0,0,1,0,0,0,,3
40,0,0,0,0,,316,1,1,0,0,1,0,0,0,,3
40,1,0.8,1,0,,317,1,1,0,0,1,0,0,0,,3
40,2,2,2,0,,318,1,1,0,0,1,0,0,0,,3
40,3,1.8,3,-1,,319,1,1,0,0,1,0,0,0,,3
40,4,1.2,4,0,,320,1,1,0,0,1,0,0,0,,3
40,5,2,5,0,,321,1,1,0,0,1,0,0,0,,3
40,6,0.2,4,-1,,322,1,1,0,0,1,0,0,0,,3
40,7,1,5,-1,,323,1,1,0,0,1,0,0,0,,3
41,0,0,0,0,,324,1,1,0,0,1,0,0,0,,3
41,1,0.8,1,0,,325,1,1,0,0,1,0,0,0,,3
41,2,2,2,0,,326,1,1,0,0,1,0,0,0,,3
41,3,1.8,3,-1,,327,1,1,0,0,1,0,0,0,,3
41,4,1.2,4,0,,328,1,1,0,0,1,0,0,0,,3
41,5,2,5,0,,329,1,1,0,0,1,0,0,0,,3
41,6,0.2,4,-1,,330,1,1,0,0,1,0,0,0,,3
41,7,1,5,-1,,331,1,1,0,0,1,0,0,0,,3
42,0,0,0,0,,332,1,1,0,0,1,0,0,0,,3
42,1,0.8,1,0,,333,1,1,0,0,1,0,0,0,,3
42,2,2,2,0,,334,1,1,0,0,1,0,0,0,,3
42,3,1.8,3,-1,,335,1,1,0,0,1,0,0,0,,3
42,4,1.2,4,0,,336,1,1,0,0,1,0,0,0,,3
42,5,2,5,0,,337,1,1,0,0,1,0,0,0,,3
42,6,0.2,4,-1,,338,1,1,0,0,1,0,0,0,,3
42,7,1,5,-1,,339,1,1,0,0,1,0,0,0,,3
43,0,0,0,0,,340,1,1,0,0,1,0,0,0,,3
43,1,0.8,1,0,,341,1,1,0,0,1,0,0,0,,3
43,2,2,2,0,,342,1,1,0,0,1,0,0,0,,3
43,3,1.8,3,-1,,343,1,1,0,0,1,0,0,0,,3
43,4,1.2,4,0,,344,1,1,0,0,1,0,0,0,,3
43,5,2,5,0,,345,1,1,0,0,1,0,0,0,,3
43,6,0.2,4,-1,,346,1,1,0,0,1,0,0,0,,3
43,7,1,5,-1,,347,1,1,0,0,1,0,0,0,,3
44,0,0,0,0,,348,1,1,0,0,1,0,0,0,,3
44,1,0.8,1,0,,349,1,1,0,0,1,0,0,0,,3
44,2,2,2,0,,350,1,1,0,0,1,0,0,0,,3
44,3,1.8,3,-1,,351,1,1,0,0,1,0,0,0,,3
44,4,1.2,4,0,,352,1,1,0,0,1,0,0,0,,3
44,5,2,5,0,,353,1,1,0,0,1,0,0,0,,3
44,6,0.2,4,-1,,354,1,1,0,0,1,0,0,0,,3
44,7,1,5,-1,,355,1,1,0,0,1,0,0,0,,3
45,0,0,0,0,,356,1,1,0,0,1,0,0,0,,3
45,1,0.8,1,0,,357,1,1,0,0,1,0,0,0,,3
45,2,2,2,0,,358,1,1,0,0,1,0,0,0,,3
45,3,1.8,3,-1,,359,1,1,0,0,1,0,0,0,,3
45,4,1.2,4,0,,360,1,1,0,0,1,0,0,0,,3
45,5,2,5,0,,361,1,1,0,0,1,0,0,0,,3
45,6,0.2,4,-1,,362,1,1,0,0,1,0,0,0,,3
45,7,1,5,-1,,363,1,1,0,0,1,0,0,0,,3
46,0,0,0,0,,364,1,1,0,0,1,0,0,0,,3
